id,carat,cut,color,clarity,depth,table,x,y,z
0,0.54,Premium,E,VS2,61.3,59.0,5.26,5.21,3.21
1,0.32,Ideal,J,VS2,62.1,54.0,4.38,4.44,2.74
2,0.3,Good,H,VVS2,63.6,56.0,4.26,4.29,2.72
3,0.66,Very Good,F,SI1,59.2,58.0,5.69,5.72,3.38
4,0.42,Ideal,F,VS2,62.0,55.0,4.79,4.82,2.98
5,0.4,Ideal,G,IF,61.1,58.0,4.72,4.74,2.89
6,1.23,Ideal,G,VS1,61.8,57.0,6.89,6.86,4.25
7,0.93,Good,I,VS2,58.2,60.0,6.41,6.48,3.75
8,0.92,Premium,E,SI2,61.7,59.0,6.27,6.18,3.84
9,1.03,Ideal,G,VS1,61.4,55.0,6.5,6.53,4.0
10,1.0,Very Good,F,SI1,63.3,58.0,6.34,6.36,4.02
11,0.27,Ideal,G,VVS1,62.5,56.0,4.15,4.18,2.6
12,0.41,Premium,E,VS2,59.8,60.0,4.87,4.83,2.9
13,0.5,Premium,E,SI1,63.0,58.0,5.08,5.04,3.19
14,1.21,Ideal,H,SI1,62.9,57.0,6.78,6.74,4.25
15,1.03,Ideal,G,VS2,60.3,56.0,6.59,6.55,3.96
16,1.05,Very Good,I,VS2,63.2,59.0,6.47,6.44,4.08
17,0.3,Very Good,D,VS2,62.0,58.0,4.29,4.32,2.67
18,1.5,Premium,G,SI1,61.2,58.0,7.34,7.44,4.52
19,1.24,Ideal,D,SI1,61.9,56.0,6.9,6.87,4.26
20,0.32,Ideal,G,VS1,61.4,54.0,4.45,4.48,2.74
21,0.42,Very Good,E,VVS1,60.5,55.0,4.85,4.9,2.95
22,1.01,Good,H,SI1,62.9,57.0,6.27,6.36,3.97
23,2.0,Very Good,G,SI1,63.5,56.0,7.9,7.97,5.04
24,0.33,Ideal,H,SI2,61.3,55.0,4.48,4.49,2.75
25,0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18
26,0.31,Ideal,E,VS2,61.0,56.0,4.34,4.38,2.66
27,0.23,Very Good,F,VVS2,60.0,57.0,4.0,4.04,2.41
28,1.53,Very Good,H,SI1,61.1,57.0,7.44,7.45,4.55
29,0.4,Very Good,D,VS1,62.9,55.0,4.73,4.77,2.99
30,0.35,Ideal,G,VVS1,61.0,56.0,4.56,4.59,2.79
31,0.92,Premium,E,SI1,61.7,57.0,6.32,6.2,3.86
32,0.31,Premium,E,SI1,59.3,59.0,4.42,4.48,2.64
33,0.51,Very Good,E,VS1,60.4,59.0,5.16,5.2,3.13
34,0.32,Ideal,E,VS2,62.2,55.0,4.37,4.38,2.72
35,1.52,Premium,E,SI2,58.1,60.0,7.59,7.53,4.39
36,0.73,Ideal,F,VVS1,61.9,56.0,5.83,5.76,3.59
37,0.31,Very Good,E,SI1,63.4,57.0,4.33,4.31,2.74
38,0.58,Very Good,G,VVS2,59.1,59.6,5.39,5.42,3.19
39,0.32,Premium,I,SI1,61.1,59.0,4.42,4.38,2.69
40,0.59,Ideal,D,SI1,62.1,56.0,5.36,5.4,3.34
41,1.24,Very Good,I,VS1,61.4,63.0,6.89,6.88,4.23
42,1.02,Good,F,SI1,64.3,58.0,6.28,6.32,4.05
43,0.72,Premium,H,VS2,61.7,56.0,5.77,5.73,3.55
44,0.75,Ideal,F,VVS2,61.9,54.0,5.83,5.84,3.61
45,0.31,Ideal,F,IF,62.3,57.0,4.34,4.3,2.69
46,0.71,Ideal,J,SI1,61.6,57.0,5.72,5.75,3.53
47,1.51,Ideal,F,VS1,62.5,57.0,7.33,7.3,4.57
48,0.53,Ideal,E,VS1,61.4,56.0,5.21,5.25,3.21
49,0.93,Premium,H,VS2,58.3,60.0,6.45,6.37,3.74
50,2.28,Ideal,E,SI2,62.0,55.0,8.49,8.45,5.25
51,0.32,Very Good,H,VS2,63.1,55.0,4.36,4.33,2.74
52,0.7,Ideal,G,SI2,61.4,57.0,5.69,5.74,3.51
53,0.44,Ideal,I,VS1,61.4,55.0,4.89,4.92,3.01
54,0.9,Good,D,SI2,64.0,59.0,6.04,6.09,3.88
55,0.31,Ideal,D,VVS2,61.2,56.0,4.35,4.37,2.67
56,0.91,Premium,G,VS2,59.5,58.0,6.34,6.26,3.75
57,2.14,Premium,I,VS2,60.7,59.0,8.28,8.33,5.04
58,0.72,Very Good,F,VS1,63.4,57.0,5.68,5.7,3.61
59,0.31,Ideal,G,VS1,62.3,54.0,4.35,4.38,2.72
60,1.71,Ideal,G,VVS2,62.1,55.0,7.63,7.66,4.75
61,0.54,Ideal,G,VVS2,62.0,56.0,5.23,5.27,3.25
62,0.41,Ideal,F,VVS2,60.6,57.0,4.86,4.81,2.93
63,1.02,Ideal,G,SI2,61.0,57.0,6.51,6.58,3.99
64,0.51,Very Good,E,SI1,63.0,58.0,4.99,5.08,3.17
