id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0.71,Fair,F,SI1,57.0,68.0,6.05,5.87,3.4,2198
1,0.75,Premium,F,VVS2,62.4,57.0,5.88,5.75,3.63,3822
2,0.7,Good,H,VS2,59.1,65.0,5.75,5.85,3.43,2234
3,1.75,Premium,I,VS1,60.6,60.0,7.8,7.84,4.74,12416
4,1.18,Premium,G,VVS2,59.7,58.0,6.94,6.9,4.13,9537
5,1.01,Very Good,J,SI1,61.9,58.0,6.36,6.4,3.95,4346
6,0.81,Ideal,G,VS2,60.8,60.0,5.98,6.0,3.64,3398
7,1.77,Premium,I,VS1,62.2,58.0,7.76,7.68,4.8,13085
8,1.3,Ideal,J,SI1,61.5,55.0,7.03,7.06,4.33,5728
9,0.33,Ideal,H,VVS1,60.2,60.0,4.49,4.52,2.71,698
10,0.9,Very Good,E,VVS2,62.0,55.0,6.08,6.17,3.8,6466
11,1.01,Very Good,G,VVS2,63.4,55.0,6.41,6.34,4.04,6968
12,1.22,Very Good,H,I1,61.6,56.0,6.8,6.87,4.21,3663
13,0.36,Very Good,D,SI1,63.1,55.0,4.59,4.54,2.88,851
14,1.22,Very Good,J,VS2,61.9,57.0,6.82,6.87,4.24,4793
15,2.01,Ideal,H,SI1,62.8,54.0,8.03,8.08,5.05,18186
16,1.0,Premium,E,SI1,62.6,60.0,6.35,6.3,3.97,5544
17,1.0,Fair,H,SI2,66.1,59.0,6.18,6.13,4.07,3472
18,0.3,Ideal,E,VS1,62.5,56.0,4.3,4.28,2.68,778
19,1.01,Premium,G,VVS2,63.0,61.0,6.36,6.34,4.0,7665
20,1.08,Ideal,H,SI2,59.3,57.0,6.74,6.71,3.99,4536
21,0.38,Ideal,G,VVS2,61.0,56.0,4.67,4.71,2.86,943
22,1.0,Good,G,VVS1,63.8,60.0,6.35,6.31,4.04,7134
23,0.56,Ideal,D,VS2,60.6,56.0,5.37,5.33,3.24,2066
24,0.74,Good,D,SI1,63.1,59.0,5.71,5.74,3.61,2753
25,0.91,Good,I,VS2,64.2,55.0,6.13,6.09,3.92,3287
26,1.01,Good,H,SI1,63.1,60.0,6.37,6.41,4.03,4432
27,0.34,Ideal,D,VS2,62.0,54.0,4.48,4.52,2.79,805
28,0.46,Premium,E,VS1,61.7,59.0,4.93,4.96,3.05,1372
29,0.8,Very Good,F,SI1,63.9,56.0,5.84,5.87,3.74,3013
30,1.16,Premium,I,SI1,60.0,58.0,6.82,6.78,4.08,4872
31,1.21,Ideal,F,VS2,62.6,55.0,6.81,6.74,4.24,6261
32,0.47,Ideal,D,VVS1,61.9,54.0,4.98,5.0,3.09,2378
33,0.54,Ideal,E,SI1,60.5,57.0,5.3,5.28,3.2,1637
34,0.51,Very Good,F,SI2,62.3,55.0,5.13,5.15,3.2,1243
35,0.59,Premium,H,VS2,60.7,56.0,5.46,5.41,3.3,1572
36,0.33,Good,E,VS2,57.3,59.0,4.6,4.62,2.64,574
37,1.01,Very Good,D,VS2,62.7,57.0,6.36,6.39,4.0,7652
38,0.7,Premium,F,SI1,61.3,59.0,5.74,5.68,3.5,2423
39,1.51,Good,J,VS2,62.8,59.0,7.17,7.2,4.51,7418
40,0.71,Ideal,I,VS1,62.1,56.0,5.72,5.68,3.54,2327
41,0.75,Premium,J,SI1,61.7,56.0,5.92,5.81,3.62,1958
42,0.39,Ideal,I,VS1,62.5,54.0,4.67,4.7,2.92,816
43,1.3,Premium,H,SI1,62.9,60.0,6.95,6.88,4.35,5671
44,1.02,Very Good,I,SI2,62.6,56.0,6.41,6.44,4.02,4084
45,0.3,Good,F,VVS1,61.1,61.0,4.29,4.32,2.63,682
46,0.3,Ideal,F,VVS2,62.5,56.0,4.28,4.33,2.69,694
47,0.76,Very Good,J,VS2,59.9,59.0,5.92,5.94,3.55,1949
48,0.44,Premium,E,SI1,62.3,59.0,4.88,4.84,3.03,1040
49,0.9,Ideal,I,SI1,60.8,57.0,6.25,6.22,3.79,3251
50,0.57,Premium,G,VS1,62.4,58.0,5.32,5.29,3.31,1949
51,0.51,Very Good,I,SI1,62.5,58.0,5.05,5.12,3.18,1068
52,0.82,Ideal,H,SI1,62.4,56.0,6.05,6.0,3.76,2617
53,0.41,Ideal,E,VVS1,61.7,56.0,4.78,4.82,2.96,1367
54,0.5,Ideal,J,VS1,63.0,56.0,5.08,5.05,3.19,984
55,0.74,Premium,H,VS2,60.2,58.0,5.88,5.92,3.55,2530
56,0.32,Ideal,I,SI1,62.4,57.0,4.37,4.35,2.72,554
57,0.52,Very Good,D,VS2,60.6,56.0,5.22,5.25,3.17,1822
58,1.31,Very Good,H,SI2,61.7,59.0,6.96,7.01,4.31,6263
59,1.02,Premium,D,SI2,60.9,61.0,6.39,6.31,3.87,4381
60,0.31,Ideal,G,IF,61.2,56.0,4.36,4.4,2.68,891
61,1.7,Very Good,J,VS2,63.2,58.0,7.56,7.5,4.76,7730
62,1.51,Premium,H,VS2,61.2,58.0,7.4,7.36,4.52,11188
63,0.31,Ideal,I,SI1,62.7,56.0,4.34,4.3,2.71,523
64,0.31,Premium,H,SI1,62.7,58.0,4.34,4.31,2.71,558
65,1.03,Ideal,D,VS2,62.0,54.8,6.47,6.51,4.02,7697
66,0.3,Ideal,D,VS2,61.4,58.0,4.29,4.31,2.64,670
67,1.08,Ideal,D,SI2,61.6,57.0,6.62,6.58,4.07,5352
68,0.32,Ideal,F,VVS2,60.7,57.0,4.42,4.45,2.69,1068
69,0.58,Ideal,D,VS2,60.8,57.0,5.4,5.42,3.29,2590
70,0.72,Ideal,E,SI2,61.4,55.0,5.78,5.8,3.56,2526
71,0.91,Very Good,F,VS1,63.5,56.0,6.18,6.14,3.91,4739
72,1.1,Ideal,F,I1,61.3,56.9,6.62,6.68,4.08,3623
73,1.2,Very Good,G,SI1,62.8,57.0,6.68,6.73,4.21,6526
74,1.01,Very Good,H,SI1,62.7,58.0,6.36,6.34,3.98,4743
75,0.38,Ideal,F,VS1,62.8,56.0,4.64,4.59,2.9,998
76,0.36,Premium,E,SI1,61.3,56.0,4.62,4.58,2.82,810
77,0.57,Ideal,D,SI1,61.0,57.0,5.31,5.34,3.25,1754
78,1.22,Very Good,F,VS2,62.3,57.0,6.8,6.84,4.25,8575
79,0.97,Premium,G,SI1,62.6,58.0,6.24,6.18,3.89,4400
80,1.1,Ideal,D,VVS2,62.0,57.0,6.57,6.62,4.09,11132
81,1.57,Premium,G,SI1,59.5,58.0,7.61,7.56,4.51,11113
82,0.51,Premium,F,SI2,62.8,60.0,5.1,5.03,3.18,1036
83,0.32,Very Good,G,VS2,61.9,56.0,4.36,4.39,2.71,576
84,0.72,Ideal,I,VS1,62.5,55.0,5.74,5.78,3.6,2586
85,1.63,Premium,G,SI1,61.0,59.0,7.64,7.58,4.64,11721
86,1.02,Good,H,SI2,58.2,60.0,6.49,6.57,3.8,3940
87,1.15,Premium,I,VS2,62.6,56.0,6.74,6.67,4.2,5120
88,0.31,Good,D,SI2,63.1,54.0,4.33,4.38,2.75,462
89,0.56,Ideal,D,VS2,62.7,57.0,5.25,5.28,3.3,1753
90,1.12,Ideal,F,SI2,61.8,56.0,6.65,6.68,4.12,5277
91,0.36,Premium,F,SI1,60.3,58.0,4.65,4.6,2.79,770
92,0.39,Ideal,E,VS2,61.4,55.0,4.76,4.81,2.94,734
